Column1,Column2,Column3
2.0,1.8489553447149976,0.5123844637187916
3.0,6.418274166271938e-101,6.253004495982272e-105
3.0,1.8622115839146343,0.512136477466667
4.0,1.6599447907067204e-124,4.516162887728882e-132
4.0,1.8701928441179172,0.5099893213879403
4.0,4.405241938591945e-123,5.361426849983651e-137
5.0,1.8688588711342513,0.5103904167320505
10.0,1.8640428544033374,0.5118768482962199
15.0,1.424202075846761e-122,7.023315914899598e-106
15.0,1.8631545288425477,0.5121546961918425
15.0,1.5606288306887651e-139,1.1541448108797666e-89
15.0,1.008996200512575e-112,2.584292476791762e-117
15.0,7.667999389879802e-109,9.09435692247621e-123
15.0,6.100029960945412e-109,2.2819513229295822e-119
15.0,4.219301518303985e-119,2.405759369256734e-110
15.0,7.769935876703336e-102,8.003862683420293e-129
20.0,2.3876037165015157e-133,8.951905203703847e98
20.0,1.862846589914111,0.5122513327481502
20.0,1.5237748358413664e-81,1.578934347487274e-51
20.0,1.6344776101012988e-62,5.544694994756332e-72
20.0,1.901689566384116e-68,1.9435388167596376e-64
20.0,1.949115319622588e-79,3.097001957855645e-53
20.0,4.299570236093658e-61,7.817247054908522e-73
20.0,4.23589501576278e-80,2.3864737278596935e-55
20.0,4.9226653844631545e-114,0.5122513311014617
20.0,1.5369056335234847e-81,2.7052996707524394e-51
20.0,3.2114739627617577e-59,1.2566420993333544e-76
20.0,2.0420250331885977e-50,5.267637496530617e-82
30.0,1.6054870422459837e-36,1.466624573860004e-10
30.0,4.0295276980130506e-23,1.017418500294923e-25
30.0,1.862633037862229,0.5123184934234793
30.0,1.189621968408972e-14,3.8239578537391465e-32
30.0,3.306460450647434e-30,2.2443949861521882e-17
30.0,5.060471590681275e-35,1.4962062560135073e-12
30.0,5.146571646094295e-26,7.94214444268357e-21
30.0,6.989790757126189e-26,1.922973275355702e-21
30.0,4.0025470671363755e-17,1.6978201188579956e-29
30.0,1.0462460518382873e-31,0.5123186242277943
30.0,6.997729109964813e-22,4.1108666946174347e-26
30.0,2.8055425779002945e-23,5.696847441755462e-23
30.0,2.250325697479538e-40,0.5125520786711335
30.0,5.634810681996607e-32,4.0901873068893005e-16
30.0,2.5242731559609294e-27,1.1163001308580989e-19
30.0,6.97250049325986e-29,8.140485892876394e-20
30.0,8.770568409522274e-25,4.514589839304277e-22
30.0,1.64067240104083e-15,7.091934122032098e-32
40.0,0.003979160935795534,0.5123409912763581
40.0,0.39602245897296307,0.5123409910356012
40.0,0.38234230153843207,0.5123409910452209
40.0,6.093487693164299e-8,4.394487253456678e-13
40.0,7.02119101744156e-7,0.5123405076858659
40.0,2.536315902698384e-9,1.5597907732804704e-14
40.0,4.8785437465733874e-14,3.8825776303144e-6
40.0,4.458468067890555e-10,1.2557384448276662e-11
40.0,6.294017000205076e-7,3.788246943968702e-15
40.0,1.6580091806891144e-13,1.4218993144804376e-8
40.0,6.760658525037996e-16,3.762766431656286e-5
40.0,0.07783238789049435,0.5123409910300716
40.0,0.03638099293002486,0.5123409909591223
40.0,2.529292283930913e-7,1.2549718960455494e-14
40.0,0.03255675013968472,0.5123409910090644
40.0,0.005379730911588022,0.5123409910403035
40.0,2.6633875859330632e-15,0.5180537031190747
40.0,1.7605540054834578e-8,6.884682930815153e-12
40.0,0.037261275402867215,0.5123409910645357
40.0,0.03909084624949014,0.5123409910288811
40.0,1.7053804080790644e-16,0.5096017693070691
40.0,0.005534504360858885,0.5123409910851014
40.0,0.0172574226707289,0.5123409911050762
40.0,0.04199025547459843,0.5123409910109686
40.0,0.01142838150022021,0.5123409913295544
40.0,1.0355245447085652e-20,0.5653149532199342
40.0,0.2922412901425276,0.512340991013787
40.0,4.3824545204599343e-7,3.770314550962702e-14
40.0,0.022542176544689523,0.512340990867575
40.0,0.18725142201752923,0.5123409910299599
40.0,8.036095218604258e-26,9.665351787912736e13
40.0,0.013565316695327286,0.5123409911462147
40.0,2.3211949454997484e-20,0.003389856693936696
40.0,1.531420126310589e-10,1.0795145499665892e-11
40.0,1.9245751524332046e-25,0.41765960102540034
40.0,3.5139334115985286e-10,0.5122296739874834
40.0,2.474038163807876e-19,0.4512571549785797
40.0,7.870665309422142e-12,2.8654169449438842e-9
40.0,0.25638807652839063,0.5123409910143943
40.0,0.0035161778851086935,0.5123409911723382
